MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Monosaccharid, , H1,4.64, , , , note
Monosaccharid, , H2,3.25, , , , note
Monosaccharid, , H3,3.5, , , , note
Monosaccharid, , H4,3.42, , , , note
Monosaccharid, , H5,3.46, , , , note
Monosaccharid, , H61,3.72, , , , note
Monosaccharid, , H62,3.9, , , , note
Monosaccharid, , C1,96.84, , , , note
Monosaccharid, , C2,75.2, , , , note
Monosaccharid, , C3,76.76, , , , note
Monosaccharid, , C4,70.71, , , , note
Monosaccharid, , C5,76.76, , , , note
Monosaccharid, , C6,61.84, , , , note
