MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GALP, , H1,4.53, , , , note
B-D-GALP, , H2,3.51, , , , note
B-D-GALP, , H3,3.65, , , , note
B-D-GALP, , H4,4.08, , , , note
B-D-GALP, , H5,3.64, , , , note
B-D-GALP, , H6,3.72, , , , note
B-D-GLCPNAC,3, H1,4.74, , , , note
B-D-GLCPNAC,3, H2,3.73, , , , note
B-D-GLCPNAC,3, H3,3.59, , , , note
B-D-GLCPNAC,3, H4,3.47, , , , note
B-D-GLCPNAC,3, H5,3.47, , , , note
B-D-GLCPNAC,3, H6 a,3.76, , , , note
B-D-GLCPNAC,3, H6 b,3.91, , , , note
B-D-GLCPNAC,3, CH3,2.04, , , , note
B-D-GALP, , C1,97.37, , , , note
B-D-GALP, , C2,71.99, , , , note
B-D-GALP, , C3,83.01, , , , note
B-D-GALP, , C4,69.3, , , , note
B-D-GALP, , C5,75.53, , , , note
B-D-GALP, , C6,61.78, , , , note
B-D-GLCPNAC,3, C1,103.24, , , , note
B-D-GLCPNAC,3, C2,56.75, , , , note
B-D-GLCPNAC,3, C3,74.62, , , , note
B-D-GLCPNAC,3, C4,70.85, , , , note
B-D-GLCPNAC,3, C5,76.6, , , , note
B-D-GLCPNAC,3, C6,61.84, , , , note
B-D-GLCPNAC,3, CH3,23.27, , , , note
B-D-GLCPNAC,3, CO,175.49, , , , not
