MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCPNAC, , H1,4.7, , , , note
B-D-GLCPNAC, , H3,3.68, , , , note
B-D-GLCPNAC, , H4,3.67, , , , note
B-D-GLCPNAC, , H4,3.61, , , , note
B-D-GLCPNAC, , H5,3.5, , , , note
B-D-GLCPNAC, , H6 a,3.82, , , , note
B-D-GLCPNAC, , H6 b,3.64, , , , note
B-D-GLCPNAC, , CH3,2.06, , , , note
B-D-GLCPNAC,4, H1,4.59, , , , note
B-D-GLCPNAC,4, H2,3.74, , , , note
B-D-GLCPNAC,4, H3,3.57, , , , note
B-D-GLCPNAC,4, H4,3.46, , , , note
B-D-GLCPNAC,4, H5,3.49, , , , note
B-D-GLCPNAC,4, H6 a,3.91, , , , note
B-D-GLCPNAC,4, H6 b,3.74, , , , note
B-D-GLCPNAC,4, CH3,2.06, , , , note
B-D-GLCPNAC, , C1,96.03, , , , note
B-D-GLCPNAC, , C2,57.36, , , , note
B-D-GLCPNAC, , C3,73.77, , , , note
B-D-GLCPNAC, , C4,80.75, , , , note
B-D-GLCPNAC, , C5,75.79, , , , note
B-D-GLCPNAC, , C6,61.35, , , , note
B-D-GLCPNAC, , CH3,23.1, , , , note
B-D-GLCPNAC, , CO,175.49, , , , note
B-D-GLCPNAC,4, C1,102.7, , , , note
B-D-GLCPNAC,4, C2,56.85, , , , note
B-D-GLCPNAC,4, C3,74.73, , , , note
B-D-GLCPNAC,4, C4,71.02, , , , note
B-D-GLCPNAC,4, C5,77.14, , , , note
B-D-GLCPNAC,4, C6,61.84, , , , note
B-D-GLCPNAC,4, CH3,23.1, , , , note
B-D-GLCPNAC,4, CO,175.49, , , , note
