MHz,500,,,,,,
Temperature,32,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker DRX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GLCPNAC, , H1,4.77, , , , note
B-D-GLCPNAC, , H2,3.88, , , , note
B-D-GLCPNAC, , H3,3.8, , , , note
B-D-GLCPNAC, , H4,3.55, , , , note
B-D-GLCPNAC, , H5,3.49, , , , note
B-D-GLCPNAC, , H61,3.79, , , , note
B-D-GLCPNAC, , H62,3.93, , , , note
B-D-GLCPNAC, , CH3CO,2.04, , , , note
B-D-GALP,3, H1,4.43, , , , note
B-D-GALP,3, H2,3.52, , , , note
B-D-GALP,3, H3,3.64, , , , note
B-D-GALP,3, H4,3.93, , , , note
B-D-GALP,3, H5,3.82, , , , note
B-D-GALP,3, H6 a,3.83, , , , note
B-D-GALP,3, H6 b,4.01, , , , note
B-D-GLCPNAC," 3, 6", H1,4.61, , , , note
B-D-GLCPNAC," 3, 6", H2,3.7, , , , note
B-D-GLCPNAC," 3, 6", H3,3.57, , , , note
B-D-GLCPNAC," 3, 6", H4,3.56, , , , note
B-D-GLCPNAC," 3, 6", H5,3.64, , , , note
B-D-GLCPNAC," 3, 6", H6,3.91, , , , note
B-D-GLCPNAC," 3, 6", H8,4.23, , , , note
B-D-GLCPNAC," 3, 6", CH3CO,2.07, , , , note
B-D-GALP," 3, 6, 6", H1,4.44, , , , note
B-D-GALP," 3, 6, 6", H2,3.63, , , , note
B-D-GALP," 3, 6, 6", H3,3.74, , , , note
B-D-GALP," 3, 6, 6", H4,4.18, , , , note
B-D-GALP," 3, 6, 6", H5,3.89, , , , note
B-D-GALP," 3, 6, 6", H61,3.91, , , , note
B-D-GALP," 3, 6, 6", H62,4.01, , , , note
B-D-QUIP," 3, 6, 6, 6", H1,4.51, , , , note
B-D-QUIP," 3, 6, 6, 6", H2,3.34, , , , note
B-D-QUIP," 3, 6, 6, 6", H3,3.53, , , , note
B-D-QUIP," 3, 6, 6, 6", H4,3.58, , , , note
B-D-QUIP," 3, 6, 6, 6", H5,3.58, , , , note
B-D-QUIP," 3, 6, 6, 6", H6,1.21, , , , note
B-D-GLCPNAC, , C1,103.8, , , , note
B-D-GLCPNAC, , C2,56.1, , , , note
B-D-GLCPNAC, , C3,84.1, , , , note
B-D-GLCPNAC, , C4,69.9, , , , note
B-D-GLCPNAC, , C5,76.6, , , , note
B-D-GLCPNAC, , C6,62, , , , note
B-D-GLCPNAC, , C7,23.6, , , , note
B-D-GLCPNAC, , C8,176.3, , , , note
B-D-GALP,3, C1,105, , , , note
B-D-GALP,3, C2,72, , , , note
B-D-GALP,3, C3,73.7, , , , note
B-D-GALP,3, C4,69.7, , , , note
B-D-GALP,3, C5,75, , , , note
B-D-GALP,3, C6,69.9, , , , note
B-D-GLCPNAC," 3, 6", C1,102.5, , , , note
B-D-GLCPNAC," 3, 6", C2,56.9, , , , note
B-D-GLCPNAC," 3, 6", C3,75.3, , , , note
B-D-GLCPNAC," 3, 6", C4,76.1, , , , note
B-D-GLCPNAC," 3, 6", C5,71, , , , note
B-D-GLCPNAC," 3, 6", C6 a,70.1, , , , note
B-D-GLCPNAC," 3, 6", C6 b,23.7, , , , note
B-D-GLCPNAC," 3, 6", CH3CO,175.8, , , , note
B-D-GALP," 3, 6, 6", C1,104.8, , , , note
B-D-GALP," 3, 6, 6", C2,71.1, , , , note
B-D-GALP," 3, 6, 6", C3,83.4, , , , note
B-D-GALP," 3, 6, 6", C4,69.8, , , , note
B-D-GALP," 3, 6, 6", C5,74.9, , , , note
B-D-GALP," 3, 6, 6", C6,70.5, , , , note
B-D-QUIP," 3, 6, 6, 6", C1,103.9, , , , note
B-D-QUIP," 3, 6, 6, 6", C2,75.1, , , , note
B-D-QUIP," 3, 6, 6, 6", C3,74.9, , , , note
B-D-QUIP," 3, 6, 6, 6", C4,58.1, , , , note
B-D-QUIP," 3, 6, 6, 6", C5,72.5, , , , note
B-D-QUIP," 3, 6, 6, 6", C6,18.2, , , , note
