MHz,500,,,,,,
Temperature,30,,,,,,
Spectrometer,Bruker DRX 500,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
A-D-GALPA, , H1,5.3, , , , note
A-D-GALPA, , H2,3.95, , , , note
A-D-GALPA, , H3,4.12, , , , note
A-D-GALPA, , H4,4.45, , , , note
A-D-GALPA, , H5,4.25, , , , note
A-D-GLCPNAC,4, H1,4.95, , , , note
A-D-GLCPNAC,4, H2,4.07, , , , note
A-D-GLCPNAC,4, H3,3.9, , , , note
A-D-GLCPNAC,4, H4,3.67, , , , note
A-D-GLCPNAC,4, H5,4.22, , , , note
A-D-GLCPNAC,4, H61,3.87, , , , note
A-D-GLCPNAC,4, H62,3.78, , , , note
B-D-GALP," 4, 3", H1,4.48, , , , note
B-D-GALP," 4, 3", H2,3.52, , , , note
B-D-GALP," 4, 3", H3,3.8, , , , note
B-D-GALP," 4, 3", H4,4.06, , , , note
B-D-GALP," 4, 3", H5,3.76, , , , note
B-D-GALP," 4, 3", H6,3.78, , , , note
B-D-RIBF," 4, 3, 4", H1,5.41, , , , note
B-D-RIBF," 4, 3, 4", H2,4.26, , , , note
B-D-RIBF," 4, 3, 4", H3,4.77, , , , note
B-D-RIBF," 4, 3, 4", H4,4.08, , , , note
B-D-RIBF," 4, 3, 4", H51,3.85, , , , note
B-D-RIBF," 4, 3, 4", H52,3.69, , , , note
A-D-GALPA, , C1,99.2, , , , note
A-D-GALPA, , C2,68.9, , , , note
A-D-GALPA, , C3,69.4, , , , note
A-D-GALPA, , C4,80, , , , note
A-D-GALPA, , C5,71.6, , , , note
A-D-GALPA, , C6,178.6, , , , note
A-D-GLCPNAC,4, C1,100.3, , , , note
A-D-GLCPNAC,4, C2,53.9, , , , note
A-D-GLCPNAC,4, C3,80.9, , , , note
A-D-GLCPNAC,4, C4,69.4, , , , note
A-D-GLCPNAC,4, C5,71.9, , , , note
A-D-GLCPNAC,4, C6,61.3, , , , note
B-D-GALP," 4, 3", C1,104.7, , , , note
B-D-GALP," 4, 3", C2,71.3, , , , note
B-D-GALP," 4, 3", C3,74, , , , note
B-D-GALP," 4, 3", C4,77.6, , , , note
B-D-GALP," 4, 3", C5,75.6, , , , note
B-D-GALP," 4, 3", C6,62.4, , , , note
B-D-RIBF," 4, 3, 4", C1,108.3, , , , note
B-D-RIBF," 4, 3, 4", C2,81.5, , , , note
B-D-RIBF," 4, 3, 4", C3,72.9, , , , note
B-D-RIBF," 4, 3, 4", C4,84.2, , , , note
B-D-RIBF," 4, 3, 4", C5,63.8, , , , note
