MHz,0,,,,,,
Temperature,70,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
Monosaccharid, , H1,4.93, , , , note
Monosaccharid, , H2,3.53, , , , note
Monosaccharid, , H3,4.11, , , , note
Monosaccharid, , H4,3.9, , , , note
Monosaccharid, , H5,3.7, , , , note
Monosaccharid, , H6,3.84, , , , note
Monosaccharid, , C1,96.7, , , , note
Monosaccharid, , C2,73.9, , , , note
Monosaccharid, , C3,71.9, , , , note
Monosaccharid, , C4,70.2, , , , note
Monosaccharid, , C5,65.7, , , , note
