MHz,360,,,,,,
Temperature,300,,,,,,
Solvent,DMSO d6/ D2O,,,,,,
Spectrometer,Bruker DRX 360,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
L-ARA-OL, , H1,3.73, , , , note
L-ARA-OL, , H2,3.97, , , , note
L-ARA-OL, , H3,3.81, , , , note
L-ARA-OL, , H4,3.83, , , , note
L-ARA-OL, , H51,3.77, , , , note
L-ARA-OL, , H52,3.69, , , , note
B-D-XYLP,3, H1,4.4, , , , note
B-D-XYLP,3, H2,3.31, , , , note
B-D-XYLP,3, H3,3.42, , , , note
B-D-XYLP,3, H4,3.61, , , , note
B-D-XYLP,3, H51,3.95, , , , note
B-D-XYLP,3, H52,3.28, , , , note
L-ARA-OL, , C1,63, , , , note
L-ARA-OL, , C2,71.74, , , , note
L-ARA-OL, , C3,79.6, , , , note
L-ARA-OL, , C4,71.7, , , , note
L-ARA-OL, , C5,63.4, , , , note
B-D-XYLP,3, C1,104.4, , , , note
B-D-XYLP,3, C2,73.9, , , , note
B-D-XYLP,3, C3,76, , , , note
B-D-XYLP,3, C4,69.7, , , , note
B-D-XYLP,3, C5,65.6, , , , note
