MHz,0,,,,,,
Temperature,60,,,,,,
Solvent,D2O,,,,,,
Spectrometer,Bruker WM-250,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
B-D-GALP1OME, , H1,4.36, , , , note
B-D-GALP1OME, , H2,3.61, , , , note
B-D-GALP1OME, , H3,3.87, , , , note
B-D-GALP1OME, , H4,3.79, , , , note
B-D-GALP1OME, , H5,3.69, , , , note
B-D-GALP1OME, , H6a,3.74, , , , note
B-D-GALP1OME, , H6b,3.8, , , , note
B-L-FUCP,3, H1,4.51, , , , note
B-L-FUCP,3, H2,3.55, , , , note
B-L-FUCP,3, H3,3.66, , , , note
B-L-FUCP,3, H4,3.76, , , , note
B-L-FUCP,3, H5,3.84, , , , note
B-L-FUCP,3, H6,1.26, , , , note
B-D-GALP1OME, , C1,104.9, , , , note
B-D-GALP1OME, , C2,70.5, , , , note
B-D-GALP1OME, , C3,81.5, , , , note
B-D-GALP1OME, , C4,67.6, , , , note
B-D-GALP1OME, , C5,76.1, , , , note
B-D-GALP1OME, , C6,62.1, , , , note
B-D-GALP1OME, , OMe,58.3, , , , note
B-L-FUCP,3, C1,102, , , , note
B-L-FUCP,3, C2,71.8, , , , note
B-L-FUCP,3, C3,74.2, , , , note
B-L-FUCP,3, C4,72.4, , , , note
B-L-FUCP,3, C5,72.5, , , , note
B-L-FUCP,3, C6,16.6, , , , note
