MHz,400,,,,,,
Temperature,323,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-L-Fucp," 2,until", H1,5.343, , ,0, 
a-L-Fucp," 2,until", H2,3.945, , ,0, 
a-L-Fucp," 2,until", H3,3.816, , ,0, 
a-L-Fucp," 2,until", H4,3.668, , ,0, 
a-L-Fucp," 2,until", H5,4.247, , ,0, 
a-L-Fucp," 2,until", CH3,1.196, , ,0, 
a-D-GalpNAc," 2,2,until", H1,5.247, , ,0, 
a-D-GalpNAc," 2,2,until", H2,4.393, , ,0, 
a-D-GalpNAc," 2,2,until", H3,3.934, , ,0, 
a-D-GalpNAc," 2,2,until", H4,4.174, , ,0, 
a-D-GalpNAc," 2,2,until", H5,4.101, , ,0, 
a-D-GalpNAc," 2,2,until", H61,3.751, , ,0, 
a-D-GalpNAc," 2,2,until", H62,3.751, , ,0, 
a-D-GalpNAc," 2,2,until", NAC,2.01, , ,0, 
a-D-GalpNAc," 3,2,2,until", H1,5.078, , ,0, 
a-D-GalpNAc," 3,2,2,until", H2,4.287, , ,0, 
a-D-GalpNAc," 3,2,2,until", H3,3.906, , ,0, 
a-D-GalpNAc," 3,2,2,until", H4,4.196, , ,0, 
a-D-GalpNAc," 3,2,2,until", H5,3.908, , ,0, 
a-D-GalpNAc," 3,2,2,until", H61,3.808, , ,0, 
a-D-GalpNAc," 3,2,2,until", H62,3.808, , ,0, 
a-D-GalpNAc," 3,2,2,until", NAC,2.071, , ,0, 
b-D-GlcpA," 3,3,2,2,until", H1,4.685, , ,0, 
b-D-GlcpA," 3,3,2,2,until", H2,3.618, , ,0, 
b-D-GlcpA," 3,3,2,2,until", H3,3.643, , ,0, 
b-D-GlcpA," 3,3,2,2,until", H4,3.564, , ,0, 
b-D-GlcpA," 3,3,2,2,until", H5,3.908, , ,0, 
a-L-Fucp," 2,until", C1,99.3, , ,0, 
a-L-Fucp," 2,until", C2,74.06, , ,0, 
a-L-Fucp," 2,until", C3,70.57, , ,0, 
a-L-Fucp," 2,until", C4,73.19, , ,0, 
a-L-Fucp," 2,until", C5,67.76, , ,0, 
a-L-Fucp," 2,until", C6,16.03, , ,0, 
a-D-GalpNAc," 2,2,until", C1,99.49, , ,0, 
a-D-GalpNAc," 2,2,until", C2,48.83, , ,0, 
a-D-GalpNAc," 2,2,until", C3,72.22, , ,0, 
a-D-GalpNAc," 2,2,until", C4,64.94, , ,0, 
a-D-GalpNAc," 2,2,until", C5,71.93, , ,0, 
a-D-GalpNAc," 2,2,until", C6,62.03, , ,0, 
a-D-GalpNAc," 2,2,until", CO,174.81, , ,0, 
a-D-GalpNAc," 2,2,until", CH3,22.97, , ,0, 
a-D-GalpNAc," 3,2,2,until", C1,93.38, , ,0, 
a-D-GalpNAc," 3,2,2,until", C2,49.41, , ,0, 
a-D-GalpNAc," 3,2,2,until", C3,75.76, , ,0, 
a-D-GalpNAc," 3,2,2,until", C4,69.7, , ,0, 
a-D-GalpNAc," 3,2,2,until", C5,71.74, , ,0, 
a-D-GalpNAc," 3,2,2,until", C6,61.74, , ,0, 
a-D-GalpNAc," 3,2,2,until", CO,174.58, , ,0, 
a-D-GalpNAc," 3,2,2,until", CH3,23.02, , ,0, 
b-D-GlcpA," 3,3,2,2,until", C1,102.6, , ,0, 
b-D-GlcpA," 3,3,2,2,until", C2,77.66, , ,0, 
b-D-GlcpA," 3,3,2,2,until", C3,77.36, , ,0, 
b-D-GlcpA," 3,3,2,2,until", C4,72.9, , ,0, 
b-D-GlcpA," 3,3,2,2,until", C5,75.76, , ,0, 
b-D-GlcpA," 3,3,2,2,until", C6,174, , ,0,
