MHz,400,,,,,,
Temperature,313,,,,,,
Solvent,D2O,,,,,,
Note,a)Assignments may have to be interchanged.,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-ManpNAc," 3,until", H1,4.93, , ,0, 
b-D-ManpNAc," 3,until", H2,4.75, , ,0, 
b-D-ManpNAc," 3,until", H3,4.01, , ,0, 
b-D-ManpNAc," 3,until", H4,3.47, , ,0, 
b-D-ManpNAc," 3,until", H5,3.35, , ,0, 
b-D-ManpNAc," 3,until", H61,3.88, , ,0, 
b-D-ManpNAc," 3,until", H62,3.8, , ,0, 
b-D-ManpNAc," 3,until", NAC,2.1, , ,0, a
b-D-Manp," 3,3,until", H1,4.83, , ,0, 
b-D-Manp," 3,3,until", H2,3.91, , ,0, 
b-D-Manp," 3,3,until", H3,3.77, , ,0, 
b-D-Manp," 3,3,until", H4,3.7, , ,0, 
b-D-Manp," 3,3,until", H5,3.43, , ,0, 
b-D-Manp," 3,3,until", H61,3.97, , ,0, 
b-D-Manp," 3,3,until", H62,3.78, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H1,5.17, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H2,4.03, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H3,4.07, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H4,3.67, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H5,4.1, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H61,3.92, , ,0, 
a-D-GlcpNAc," 2,3,3,until", H62,3.73, , ,0, 
a-D-GlcpNAc," 2,3,3,until", NAC,2.04, , ,0, a
b-D-Glcp," 3,2,3,3,until", H1,4.57, , ,0, 
b-D-Glcp," 3,2,3,3,until", H2,3.32, , ,0, 
b-D-Glcp," 3,2,3,3,until", H3,3.65, , ,0, 
b-D-Glcp," 3,2,3,3,until", H4,3.63, , ,0, 
b-D-Glcp," 3,2,3,3,until", H5,3.57, , ,0, 
b-D-Glcp," 3,2,3,3,until", H61,3.9, , ,0, 
b-D-Glcp," 3,2,3,3,until", H62,3.77, , ,0, 
a-D-Manp," 4,3,2,3,3,until", H1,5.25, , ,0, 
a-D-Manp," 4,3,2,3,3,until", H2,4.13, , ,0, 
a-D-Manp," 4,3,2,3,3,until", H3,3.88, , ,0, 
a-D-Manp," 4,3,2,3,3,until", H4,3.86, , ,0, 
a-D-Manp," 4,3,2,3,3,until", H5,3.74, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", H1,5.29, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", H2,3.83, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", H3,4.09, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", H4,4.55, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", H5,4.72, , ,0,
b-D-ManpNAc," 3,until", C1,100.34, , ,0, 
b-D-ManpNAc," 3,until", C2,50.57, , ,0, 
b-D-ManpNAc," 3,until", C3,77.93, , ,0, 
b-D-ManpNAc," 3,until", C4,65.76, , ,0, 
b-D-ManpNAc," 3,until", C5,77.08, , ,0, 
b-D-ManpNAc," 3,until", CO,175.8, , ,0, a
b-D-ManpNAc," 3,until", CH3,22.94, , ,0, 
b-D-Manp," 3,3,until", C1,97.13, , ,0, 
b-D-Manp," 3,3,until", C2,77.08, , ,0, 
b-D-Manp," 3,3,until", C3,74.33, , ,0, 
b-D-Manp," 3,3,until", C4,68.09, , ,0, 
b-D-Manp," 3,3,until", C5,77.61, , ,0, 
b-D-Manp," 3,3,until", C6,61.82, , ,0, 
a-D-GlcpNAc," 2,3,3,until", C1,99.02, , ,0, 
a-D-GlcpNAc," 2,3,3,until", C2,53.7, , ,0, 
a-D-GlcpNAc," 2,3,3,until", C3,81.2, , ,0, 
a-D-GlcpNAc," 2,3,3,until", C4,68.78, , ,0, 
a-D-GlcpNAc," 2,3,3,until", C5,71.71, , ,0, 
a-D-GlcpNAc," 2,3,3,until", C6,60.82, , ,0, 
a-D-GlcpNAc," 2,3,3,until", CO,175.29, , ,0, a
a-D-GlcpNAc," 2,3,3,until", CH3,22.94, , ,0, 
b-D-Glcp," 3,2,3,3,until", C1,103.44, , ,0, 
b-D-Glcp," 3,2,3,3,until", C2,74, , ,0, 
b-D-Glcp," 3,2,3,3,until", C3,76.82, , ,0, 
b-D-Glcp," 3,2,3,3,until", C4,77.08, , ,0, 
b-D-Glcp," 3,2,3,3,until", C5,75.41, , ,0, 
a-D-Manp," 4,3,2,3,3,until", C1,101.96, , ,0, 
a-D-Manp," 4,3,2,3,3,until", C2,70.92, , ,0, 
a-D-Manp," 4,3,2,3,3,until", C3,79.9, , ,0, 
a-D-Manp," 4,3,2,3,3,until", C4,66.52, , ,0, 
a-D-Manp," 4,3,2,3,3,until", C5,74.55, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", C1,101.46, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", C2,69.14, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", C3,70.16, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", C4,78.68, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", C5,71.34, , ,0, 
a-D-GalpA," 3,4,3,2,3,3,until", C6,173.27, , ,0,
