MHz,500,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Glcp," 4,until", H1,4.46, , ,0, 
b-D-Glcp," 4,until", H2,3.34, , ,0, 
b-D-Glcp," 4,until", H3,3.63, , ,0, 
b-D-Glcp," 4,until", H4,3.63, , ,0, 
b-D-Glcp," 4,until", H5,3.51, , ,0, 
b-D-Glcp," 4,until", H61,3.83, , ,0, 
b-D-Glcp," 4,until", H62,3.68, , ,0, 
b-D-ManpNAc," 4,4,until", H1,4.86, , ,0, 
b-D-ManpNAc," 4,4,until", H2,4.6, , ,0, 
b-D-ManpNAc," 4,4,until", H3,3.93, , ,0, 
b-D-ManpNAc," 4,4,until", H4,3.74, , ,0, 
b-D-ManpNAc," 4,4,until", H5,3.46, , ,0, 
b-D-ManpNAc," 4,4,until", H61,3.9, , ,0, 
b-D-ManpNAc," 4,4,until", H62,3.79, , ,0, 
a-D-Galp," 3,4,4,until", H1,5.29, , ,0, 
a-D-Galp," 3,4,4,until", H2,3.94, , ,0, 
a-D-Galp," 3,4,4,until", H3,3.82, , ,0, 
a-D-Galp," 3,4,4,until", H4,4.17, , ,0, 
a-D-Galp," 3,4,4,until", H5,4.12, , ,0, 
a-D-Galp," 3,4,4,until", H61,3.75, , ,0, 
a-D-Galp," 3,4,4,until", H62,3.75, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H1,5.08, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H2,3.65, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H3,4.02, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H4,3.77, , ,0, 
a-D-GlcpA," 3,3,4,4,until", H5,4.24, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", H1,5.41, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", H2,3.53, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", H3,3.78, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", H4,3.58, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", H5,3.85, , ,0, 
b-D-Glcp," 4,until", C1,103.2, , ,0, 
b-D-Glcp," 4,until", C2,73.8, , ,0, 
b-D-Glcp," 4,until", C3,74.7, , ,0, 
b-D-Glcp," 4,until", C4,79.5, , ,0, 
b-D-Glcp," 4,until", C5,75.4, , ,0, 
b-D-ManpNAc," 4,4,until", C1,100.1, , ,0, 
b-D-ManpNAc," 4,4,until", C2,53.4, , ,0, 
b-D-ManpNAc," 4,4,until", C3,78, , ,0, 
b-D-ManpNAc," 4,4,until", C4,67.6, , ,0, 
b-D-ManpNAc," 4,4,until", C5,77.1, , ,0, 
a-D-Galp," 3,4,4,until", C1,101, , ,0, 
a-D-Galp," 3,4,4,until", C2,67.6, , ,0, 
a-D-Galp," 3,4,4,until", C3,74.7, , ,0, 
a-D-Galp," 3,4,4,until", C4,66.4, , ,0, 
a-D-Galp," 3,4,4,until", C5,71.9, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C1,95.5, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C2,71.9, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C3,74, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C4,78.4, , ,0, 
a-D-GlcpA," 3,3,4,4,until", C5,73.4, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", C1,98.8, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", C2,72.3, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", C3,72.3, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", C4,79.2, , ,0, 
a-D-Glcp," 4,3,3,4,4,until", C5,71.3, , ,0,
