MHz,270,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Note,"a)Tentative assignments. b)The assignments of b-D-Galp 3,2 and b-D-Galp 4,4,3,2 may have to be interchanged.",,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
b-D-Ribf," 2,until", H1,5.33, , ,0, 
b-D-Ribf," 2,until", H2,4.26, , ,0, 
b-D-Ribf," 2,until", H3,4.28, , ,0, a
b-D-Ribf," 2,until", H4,4.1, , ,0, a
a-D-GlcpNAc," 2,2,until", H1,5.17, , ,0, 
a-D-GlcpNAc," 2,2,until", H2,4.19, , ,0, 
a-D-GlcpNAc," 2,2,until", H3,4.04, , ,0, 
a-D-GlcpNAc," 2,2,until", H4,3.65, , ,0, 
a-D-GlcpNAc," 2,2,until", H5,3.94, , ,0, a
a-D-GlcpNAc," 2,2,until", NAC,2.07, , ,0, a
b-D-Galp," 3,2,2,until", H1,4.54, , ,0, b
b-D-Galp," 3,2,2,until", H2,3.59, , ,0, 
b-D-Galp," 3,2,2,until", H3,3.73, , ,0, 
b-D-Galp," 3,2,2,until", H4,4.01, , ,0, 
b-D-Galp," 3,2,2,until", H5,3.76, , ,0, a
a-D-GlcpNAc," 4,3,2,2,until", H1,4.91, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", H2,3.95, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", H3,3.94, , ,0, a
a-D-GlcpNAc," 4,3,2,2,until", H4,3.74, , ,0, a
a-D-GlcpNAc," 4,3,2,2,until", H5,4.28, , ,0, a
a-D-GlcpNAc," 4,3,2,2,until", NAC,2.08, , ,0, a
b-D-Galp," 4,4,3,2,2,until", H1,4.51, , ,0, b
b-D-Galp," 4,4,3,2,2,until", H2,3.53, , ,0, 
b-D-Galp," 4,4,3,2,2,until", H3,3.78, , ,0, 
b-D-Galp," 4,4,3,2,2,until", H4,4.02, , ,0, 
b-D-Galp," 4,4,3,2,2,until", H5,3.76, , ,0, a
b-D-Ribf," 2,until", C1,107.6, , ,0, 
b-D-Ribf," 2,until", C2,80, , ,0, 
b-D-Ribf," 2,until", C3,71.6, , ,0, 
b-D-Ribf," 2,until", C4,83.9, , ,0, 
b-D-Ribf," 2,until", C5,63.5, , ,0, 
a-D-GlcpNAc," 2,2,until", C1,96.7, , ,0, 
a-D-GlcpNAc," 2,2,until", C2,53.2, , ,0, 
a-D-GlcpNAc," 2,2,until", C3,81.4, , ,0, 
a-D-GlcpNAc," 2,2,until", C4,69.6, , ,0, 
a-D-GlcpNAc," 2,2,until", C5,73, , ,0, 
b-D-Galp," 3,2,2,until", C1,104.4, , ,0, a
b-D-Galp," 3,2,2,until", C2,71.7, , ,0, 
b-D-Galp," 3,2,2,until", C3,73.1, , ,0, b
b-D-Galp," 3,2,2,until", C4,77.4, , ,0, 
b-D-Galp," 3,2,2,until", C5,76.5, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", C1,98.7, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", C2,54.5, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", C3,70, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", C4,80, , ,0, 
a-D-GlcpNAc," 4,3,2,2,until", C5,71.1, , ,0, 
b-D-Galp," 4,4,3,2,2,until", C1,103.8, , ,0, a
b-D-Galp," 4,4,3,2,2,until", C2,72, , ,0, 
b-D-Galp," 4,4,3,2,2,until", C3,73.8, , ,0, b
b-D-Galp," 4,4,3,2,2,until", C4,76.7, , ,0, 
b-D-Galp," 4,4,3,2,2,until", C5,75.6, , ,0,
