MHz,360,,,,,,
Temperature,343,,,,,,
Solvent,D2O,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note
a-D-GlcpNAc," 4,until", H1,5.25,1,2,3.9, 
a-D-GlcpNAc," 4,until", H2,3.94,2,3,10.5, 
a-D-GlcpNAc," 4,until", H3,3.82,3,4,9.2, 
a-D-GlcpNAc," 4,until", H4,3.73,4,5,9.2, 
a-D-GlcpNAc," 4,until", H5,3.84, , ,0, 
b-D-ManpNAc," 4,4,until", H1,4.88,1,2,1.4, 
b-D-ManpNAc," 4,4,until", H2,4.51,2,3,4.4, 
b-D-ManpNAc," 4,4,until", H3,4.04,3,4,9.1, 
b-D-ManpNAc," 4,4,until", H4,3.68,4,5,9.1, 
b-D-ManpNAc," 4,4,until", H5,3.54,5,6,2.2, 
b-D-ManpNAc," 4,4,until", ,0,5, 6',4.2,
a-D-GlcpNAc," 4,until", C1,98.7, , ,0, 
a-D-GlcpNAc," 4,until", C2,54.5, , ,0, 
a-D-GlcpNAc," 4,until", C3,70, , ,0, 
a-D-GlcpNAc," 4,until", C4,79.8, , ,0, 
a-D-GlcpNAc," 4,until", C5,71.9, , ,0, 
a-D-GlcpNAc," 4,until", C6,60.7, , ,0, 
a-D-GlcpNAc," 4,until", CO,176.3, , ,0, a
a-D-GlcpNAc," 4,until", CH3,22.7, , ,0, b
b-D-ManpNAc," 4,4,until", C1,100, , ,0, 
b-D-ManpNAc," 4,4,until", C2,54.2, , ,0, 
b-D-ManpNAc," 4,4,until", C3,73.5, , ,0, 
b-D-ManpNAc," 4,4,until", C4,74, , ,0, 
b-D-ManpNAc," 4,4,until", C5,75.9, , ,0, 
b-D-ManpNAc," 4,4,until", C6,61.3, , ,0, 
b-D-ManpNAc," 4,4,until", CO,175.1, , ,0, a
b-D-ManpNAc," 4,4,until", CH3,22.8, , ,0, 
